RN   Bit18Corr  Bit18UC   Bit26Corr  Bit26UC   Bit30Corr  Bit30UC 
49138 0.0238550 0.0227948 0.0238550 0.0227948 0.0238550 0.0227948
49140 0.0116476 0.0111636 0.0116476 0.0111636 0.0116476 0.0111636
49141 0.0245767 0.0235873 0.0245767 0.0235873 0.0245767 0.0235873
49143 0.0052713 0.0050722 0.0052713 0.0050722 0.0052713 0.0050722
49148 0.0169815 0.0163592 0.0169815 0.0163592 0.0169815 0.0163592
49157 0.0210836 0.0203593 0.0210836 0.0203593 0.0210836 0.0203593
49159 0.0154796 0.0149798 0.0154796 0.0149798 0.0154796 0.0149798
49165 0.0065756 0.0063691 0.0065756 0.0063691 0.0065756 0.0063691
49217 0.0309800 0.0276543 0.0309800 0.0276543 0.0309800 0.0276543
49218 0.0160149 0.0144099 0.0160149 0.0144099 0.0160149 0.0144099
49219 0.0832480 0.0762669 0.0832480 0.0762669 0.0832480 0.0762669
49224 0.0123099 0.0114222 0.0123099 0.0114222 0.0123099 0.0114222
49226 0.0130056 0.0121007 0.0130056 0.0121007 0.0130056 0.0121007
49227 0.0192810 0.0179972 0.0192810 0.0179972 0.0192810 0.0179972
49228 0.0217280 0.0203692 0.0217280 0.0203692 0.0217280 0.0203692
49229 0.0598882 0.0563789 0.0598882 0.0563789 0.0598882 0.0563789
49230 0.0129254 0.0122003 0.0129254 0.0122003 0.0129254 0.0122003
49233 0.0044402 0.0042069 0.0044402 0.0042069 0.0044402 0.0042069
49240 0.0409331 0.0365265 0.0409331 0.0365265 0.0409331 0.0365265
49241 0.0264116 0.0238255 0.0264116 0.0238255 0.0264116 0.0238255
